Assumptions,Category,Item,[2026] age=50;,[2027] age=51;,[2028] age=52;,[2029] age=53;,[2030] age=54;,[2031] age=55;,[2032] age=56;,[2033] age=57;,[2034] age=58;,[2035] age=59;,[2036] age=60;,[2037] age=61;,[2038] age=62;,[2039] age=63;,[2040] age=64;,[2041] age=65;,[2042] age=66;,[2043] age=67;,[2044] age=68;,[2045] age=69;,[2046] age=70;,[2047] age=71;,[2048] age=72;,[2049] age=73;,[2050] age=74;,[2051] age=75;,[2052] age=76;,[2053] age=77;,[2054] age=78;,[2055] age=79;,[2056] age=80;,[2057] age=81;,[2058] age=82;,[2059] age=83;,[2060] age=84;,[2061] age=85;,[2062] age=86;,[2063] age=87;,[2064] age=88;,[2065] age=89;,[2066] age=90;,[2067] age=91;,[2068] age=92;,[2069] age=93;,[2070] age=94;,[2071] age=95;
"Optimistic","Accounts","Cash Savings","$6,280.00","$5,042.00","$6,426.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Optimistic","Accounts","CC","−$4,583.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Optimistic","Accounts","HSA","$258,710.00","$286,030.00","$316,235.00","$349,629.00","$386,550.00","$427,370.00","$472,500.00","$522,396.00","$577,561.00","$638,551.00","$705,982.00","$780,534.00","$862,959.00","$954,087.00","$1,054,839.00","$1,166,230.00","$1,289,384.00","$1,425,543.00","$1,576,080.00","$1,742,514.00","$1,926,524.00","$2,129,965.00","$2,354,889.00","$2,603,565.00","$2,878,502.00","$3,182,472.00","$3,518,541.00","$3,890,099.00","$4,300,893.00","$4,755,068.00","$5,257,203.00","$5,812,364.00","$6,426,149.00","$7,104,751.00","$7,855,013.00","$8,684,502.00","$9,601,585.00","$10,615,513.00","$11,736,511.00","$12,975,887.00","$14,346,140.00","$15,861,093.00","$17,536,024.00","$19,387,828.00","$21,435,183.00","$23,698,739.00"
"Optimistic","Accounts","Investments","$68,323.00","$77,763.00","$90,607.00","$60,793.00","$0.00","$0.00","$698,271.00","$595,091.00","$474,136.00","$335,124.00","$176,271.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$33,513.00","$110,207.00","$207,034.00","$326,524.00","$470,486.00","$644,663.00","$852,148.00","$1,098,964.00","$1,389,658.00","$1,731,974.00","$2,131,629.00","$2,596,488.00","$3,135,362.00","$3,755,364.00","$4,469,752.00","$5,287,084.00","$6,219,761.00","$7,280,600.00","$8,470,517.00","$9,751,585.00","$11,129,576.00"
"Optimistic","Accounts","Retirement Savings","$3,037,143.00","$3,377,104.00","$3,753,356.00","$4,159,975.00","$4,245,534.00","$4,220,182.00","$4,412,637.00","$4,618,983.00","$4,840,527.00","$5,078,703.00","$5,335,097.00","$5,607,060.00","$5,745,452.00","$5,866,195.00","$5,984,601.00","$6,089,475.00","$6,190,814.00","$6,289,286.00","$6,384,470.00","$6,475,729.00","$6,562,313.00","$6,643,368.00","$6,717,952.00","$6,785,016.00","$6,843,371.00","$7,275,087.00","$7,727,703.00","$8,197,080.00","$8,680,264.00","$9,174,858.00","$9,678,118.00","$10,189,030.00","$10,701,063.00","$11,212,367.00","$11,713,712.00","$12,202,132.00","$12,670,200.00","$13,109,221.00","$13,516,228.00","$13,873,716.00","$14,177,951.00","$14,416,949.00","$14,577,285.00","$14,643,942.00","$14,613,784.00","$14,471,207.00"
"Optimistic","Accounts","Roth IRA","$316,201.00","$349,592.00","$386,509.00","$427,324.00","$713,258.00","$1,035,502.00","$1,398,047.00","$1,805,309.00","$2,262,170.00","$2,774,040.00","$3,346,895.00","$3,987,355.00","$4,662,129.00","$5,414,603.00","$6,253,147.00","$7,189,982.00","$8,232,768.00","$9,392,875.00","$10,682,875.00","$12,116,670.00","$13,709,637.00","$15,478,785.00","$17,442,917.00","$19,622,833.00","$22,041,535.00","$24,369,121.00","$26,942,500.00","$29,787,628.00","$32,933,202.00","$36,410,948.00","$40,255,944.00","$44,506,972.00","$49,206,908.00","$54,403,157.00","$60,148,131.00","$66,499,774.00","$73,522,150.00","$81,286,089.00","$89,869,900.00","$99,360,161.00","$109,852,594.00","$121,453,028.00","$134,278,468.00","$148,458,275.00","$164,135,468.00","$181,468,174.00"
"Optimistic","Accounts","Housing","$710,640.00","$748,161.00","$787,664.00","$829,253.00","$873,038.00","$919,134.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Optimistic","Accounts","Other Assets","$519,999.00","$540,799.00","$562,431.00","$584,929.00","$608,326.00","$632,659.00","$657,965.00","$684,284.00","$711,655.00","$740,122.00","$769,727.00","$800,516.00","$832,536.00","$865,838.00","$900,471.00","$936,490.00","$973,950.00","$1,012,908.00","$1,053,424.00","$1,095,561.00","$1,139,384.00","$1,184,959.00","$1,232,357.00","$1,281,652.00","$1,332,918.00","$1,386,234.00","$1,441,684.00","$1,499,351.00","$1,559,325.00","$1,621,698.00","$1,686,566.00","$1,754,029.00","$1,824,190.00","$1,897,158.00","$1,973,044.00","$2,051,966.00","$2,134,044.00","$2,219,406.00","$2,308,182.00","$2,400,510.00","$2,496,530.00","$2,596,391.00","$2,700,247.00","$2,808,257.00","$2,920,587.00","$3,037,411.00"
"Optimistic","Accounts","Non-mortgage Debt","−$4,583.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Optimistic","Income","Investment Income","$197.00","$128.00","$134.00","$93.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Optimistic","Income","Required Minimum Distribution","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$278,185.00","$306,965.00","$337,454.00","$372,594.00","$411,386.00","$454,200.00","$498,872.00","$550,758.00","$604,579.00","$667,402.00","$732,107.00","$802,771.00","$879,875.00","$956,877.00","$1,047,769.00","$1,137,189.00","$1,232,865.00","$1,334,902.00","$1,443,295.00","$1,541,467.00","$1,641,998.00"
"Optimistic","Income","Savings Drawdown","$5,117.00","$2,590.00","$0.00","$55,369.00","$172,026.00","$215,143.00","$192,562.00","$163,759.00","$171,051.00","$177,024.00","$183,028.00","$189,082.00","$190,280.00","$214,054.00","$221,983.00","$237,452.00","$244,586.00","$250,603.00","$256,568.00","$262,634.00","$268,832.00","$275,185.00","$281,687.00","$288,339.00","$295,160.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Optimistic","Income","Work","$147,996.00","$152,506.00","$157,155.00","$80,972.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Optimistic","Income","Social Security","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$41,844.00","$42,696.00","$43,560.00","$44,448.00","$45,348.00","$46,272.00","$47,208.00","$48,168.00","$49,152.00","$50,148.00","$51,168.00","$52,212.00","$53,268.00","$54,348.00","$55,452.00","$56,580.00","$57,732.00","$58,908.00","$60,096.00","$61,320.00","$62,568.00","$63,840.00","$65,136.00","$66,456.00","$67,812.00","$69,192.00","$70,596.00","$72,024.00","$73,488.00","$74,988.00","$76,512.00","$78,060.00","$79,656.00","$81,264.00"
"Optimistic","Income","Primary Home Sale","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$827,420.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Optimistic","Expense","Medical","$3,000.00","$3,080.00","$3,163.00","$3,248.00","$3,335.00","$3,425.00","$3,517.00","$3,612.00","$3,709.00","$3,808.00","$3,911.00","$4,016.00","$4,124.00","$4,235.00","$4,349.00","$3,582.00","$3,296.00","$3,385.00","$3,476.00","$3,569.00","$3,665.00","$3,764.00","$3,865.00","$3,969.00","$4,075.00","$4,185.00","$4,297.00","$4,413.00","$4,532.00","$4,653.00","$4,778.00","$4,907.00","$5,039.00","$5,174.00","$5,313.00","$5,456.00","$5,603.00","$5,754.00","$5,908.00","$6,067.00","$6,230.00","$6,398.00","$6,570.00","$6,746.00","$6,927.00","$7,114.00"
"Optimistic","Expense","Mortgage","$31,200.00","$31,200.00","$31,200.00","$31,200.00","$31,200.00","$31,200.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Optimistic","Expense","Long Term Care","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$24,611.00","$126,365.00","$233,571.00"
